Borough,Remain,Leave
Barking and Dagenham,27750,46130
Barnet,60823,39387
Bexley,47603,80886
Brent,72523,48881
Bromley,92398,90034
Camden,71295,23838
City of London,3312,1087
Croydon,92913,78221
Ealing,90024,59017
Enfield,76425,60481
Greenwich,65248,52117
Hackney,83398,22868
Hammersmith and Fulham,56188,24054
Haringey,79991,25855
Harrow,64042,53183
Havering,42201,96885
Hillingdon,58040,74982
Hounslow,58755,56321
Islington,76420,25180
Kensington and Chelsea,37601,17138
Kingston upon Thames,52533,32737
Lambeth,111584,30340
Lewisham,86995,37518
Merton,63003,37097
Newham,55328,49371
Redbridge,69213,59020
Richmond upon Thames,75396,33410
Southwark,94293,35209
Sutton,49319,57241
Tower Hamlets,73011,35244
Waltham Forest,64156,44395
Wandsworth,118463,39421
Westminster,53928,24268
