name,GLA Population Estimate 2016,"Proportion of population aged 0-15, 2016","Proportion of population of working-age, 2016","Proportion of population aged 65 and over, 2016",Net internal migration (2014),Net international migration (2014),Net natural change (2014),% of resident population born abroad (2014),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),"Overseas nationals entering the UK (NINo), (2014/15)","New migrant (NINo) rates, (2014/15)",Largest migrant population arrived during 2014/15,Second largest migrant population arrived during 2014/15,Third largest migrant population arrived during 2014/15,Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10)
City of London,"  8,548 ",27.2,90.6,9.4,138,252,35,.,United States,2.8,France,2.0,Australia,1.9,892,151,France,United States,India,6.59,7.08,5.99,5.57
Barking and Dagenham,"  205,773 ",21.0,86.1,13.9,-1118,2543,2509,37.4,Nigeria,4.7,India,2.3,Pakistan,2.3,"7,727",62,Romania,Bulgaria,Lithuania,7.14,7.6,7.05,3.05
Barnet,"  385,108 ",21.0,83.3,16.7,-1884,4770,2938,35.9,India,3.1,Poland,2.4,Iran,2.0,"14,412",59,Romania,Poland,Italy,7.48,7.76,7.37,2.75
Bexley,"  243,303 ",20.8,89.0,11.0,1273,699,1195,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,"2,108",14,Romania,Nigeria,Poland,7.38,7.7,7.21,3.29
Brent,"  328,568 ",20.1,82.5,17.5,-6932,6717,3694,56.2,India,9.2,Poland,3.4,Ireland,2.9,"25,130",115,Romania,Italy,Portugal,7.25,7.35,7.22,2.92
Bromley,"  326,560 ",15.8,88.4,11.6,1169,728,1486,17.2,India,1.1,Ireland,1.1,Nigeria,0.7,"2,778",14,Romania,Italy,Poland,7.54,7.86,7.44,3.26
Camden,"  240,595 ",8.8,82.8,17.2,-2790,6288,1642,42.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,"10,703",64,Italy,France,Spain,7.14,7.38,7.11,3.61
Croydon,"  383,408 ",22.3,87.0,13.0,-2362,2189,3443,29.7,India,3.6,Jamaica,2.5,Ghana,1.5,"7,902",32,Romania,Poland,Bulgaria,7.1,7.57,7.18,3.3
Ealing,"  348,533 ",21.2,88.3,11.7,-6391,2291,3708,45.5,India,7.6,Poland,6.4,Ireland,2.3,"15,143",66,Poland,Romania,Italy,7.29,7.57,7.26,3.57
Enfield,"  330,968 ",22.7,87.2,12.8,-1892,2983,2948,32.8,Turkey,4.5,Cyprus (Not otherwise specified),3.6,Poland,1.9,"9,593",46,Romania,Bulgaria,Poland,7.26,7.57,7.33,2.6
