name,population_2001,international_net_2002,population_2002,international_net_2003,population_2003,international_net_2004,population_2004,international_net_2005,population_2005,international_net_2006,population_2006,international_net_2007,population_2007,international_net_2008,population_2008,international_net_2009,population_2009,international_net_2010,population_2010,international_net_2011,population_2011,international_net_2012,population_2012,international_net_2013,population_2013,international_net_2014,population_2014
Barking and Dagenham,165654,1485,166357,1078,166210,1774,165610,1871,166275,1668,167157,1694,169031,2468,172452,2731,177580,3304,182838,2574,187029,1571,190560,1403,194352,2543,198294
Barnet,319481,4151,320552,3822,321802,3917,323723,4945,327541,3183,330801,4274,334837,4730,339212,3886,345829,3392,351438,4982,357538,3905,363956,3912,369088,4770,374915
Bexley,218757,598,219123,476,220016,579,220917,509,222391,564,223280,521,224625,775,226652,869,228146,1168,230711,934,232774,499,234271,516,236687,699,239865
Brent,269620,2865,269871,1446,268323,2454,268335,4640,270939,6187,276504,8161,283273,8178,290901,6143,298118,5705,304785,5719,312245,2874,314660,4021,317264,6717,320762
Bromley,296218,1030,296668,1034,297253,1331,297307,1117,299421,765,300963,408,302625,789,304968,740,306924,774,308560,867,310554,480,314036,348,317899,728,321278
Camden,202567,3851,203972,2988,204254,4721,207341,5141,211088,1775,211032,2959,211520,2720,210273,3694,212924,3495,214725,7442,220087,5185,224962,4744,229719,6288,234846
City of London,7359,236,7280,212,7115,257,7118,312,7131,384,7254,570,7607,245,7429,371,7472,128,7338,416,7412,210,7604,193,7648,252,8072
Croydon,335112,1687,335415,1543,335919,2415,337134,2843,339052,1253,340449,2145,344029,2875,349308,1672,352763,2002,357951,1993,364815,1479,368886,1141,372752,2189,376040
Ealing,307276,5249,309242,3516,308108,6360,310073,6203,312774,5358,315329,5266,318671,4022,324022,3238,329966,3041,334073,4527,339314,1749,340671,2383,342494,2291,342118
Enfield,277266,3815,280745,2268,281835,1808,282217,2827,284779,1563,287429,2777,291534,3895,297443,3354,301971,3914,307648,2667,313935,1886,317287,1933,320524,2983,324574
Greenwich,217460,1448,221476,1178,224303,1782,227190,1643,230494,1794,233990,1500,236535,2622,239748,2111,243672,2880,249171,2782,255483,2567,260068,1818,264008,2793,268678
Hackney,207246,3077,210961,2598,212405,2892,213581,2954,216512,2852,220193,2527,224480,3468,231041,1361,236622,585,241739,1671,247182,1420,252119,2021,257379,2592,263150
Hammersmith and Fulham,169374,3244,171989,868,171510,1722,172083,1740,173292,1322,174675,594,176472,608,177088,347,180116,-1227,180842,147,182445,-2505,179850,41,178685,1277,178365
Haringey,221251,5917,224474,3720,225027,4265,226472,4807,229271,4812,233174,5015,236793,7269,244459,4800,249805,3036,252742,3367,255540,3972,258912,4860,263386,5559,267541
Harrow,210044,2176,212336,1878,213728,2614,216267,3861,221109,2613,223632,2496,226355,2399,229567,2689,233495,3088,237451,2471,240499,1694,242377,1153,243373,3030,246011
Havering,224717,468,225054,341,225248,537,225769,463,226990,333,228198,205,229789,452,231793,532,234127,661,236234,741,237927,266,239733,271,242080,673,245974
Hillingdon,245616,1722,247063,1853,248054,2374,248691,2878,251430,2439,254387,2557,256981,2756,261051,2247,265665,2474,269465,4406,275499,3499,281756,2833,286808,3970,292690
Hounslow,215976,3139,216888,2575,216498,4890,219440,5487,223776,4814,228126,4708,233454,4819,237907,3979,243366,3827,249236,3473,254927,2831,259052,2994,262407,3607,265568
Islington,179387,1890,180118,1739,180899,1851,180831,2902,183477,2684,185283,3044,188636,3055,192089,2600,196704,2741,200129,5210,206285,4337,211047,3848,215671,4620,221030
Kensington and Chelsea,162199,3937,163827,2639,165268,1806,165752,3971,168375,-2051,165245,-1182,162883,1034,162579,-454,161893,-731,160463,-720,158251,-1311,155930,-170,155594,1059,156190
Kingston upon Thames,149045,2015,149642,1452,149683,2016,151055,2119,152489,1399,153667,1179,154485,1943,156027,2046,157307,2305,158648,2761,160436,2138,163906,1827,166793,2136,169958
Lambeth,273372,3203,273041,2400,272195,4338,274262,5313,277620,4401,280524,5579,284964,3780,289126,2251,294050,1277,297650,2924,304481,2695,310200,3267,314242,2645,318216
Lewisham,254336,2474,253662,1984,251936,2724,252455,3693,254930,3248,257976,3025,261188,3689,266508,2037,270418,1616,272525,2675,276938,2618,281556,2407,286180,3234,291933
Merton,191106,1912,190561,1297,189298,2212,188908,3025,190583,3235,192520,3340,194260,3070,195859,2273,198136,1232,199136,1629,200543,50,202225,177,203223,540,203515
Newham,249411,7316,255282,4391,256224,3211,254434,3446,253798,7398,257994,10437,266285,11374,276478,11082,286447,14757,299171,12201,310460,6829,314084,7151,318227,9518,324322
Redbridge,241893,3078,244273,2143,247412,1852,248774,1953,251560,2283,255590,2751,259965,2890,265452,1776,270435,1754,275088,3520,281395,2377,284617,2049,288272,3403,293055
Richmond upon Thames,174311,2186,175441,1838,177182,1896,179312,1355,181508,141,182520,-410,182421,171,182927,-21,184394,387,186304,223,187527,-226,189145,139,191365,426,193585
Southwark,256712,3813,256269,3537,255242,5497,257257,7450,261811,7414,267553,6769,272626,6227,276973,5161,281120,4608,283777,5063,288717,3279,293530,3541,298465,4210,302538
Sutton,181461,630,181265,659,181267,705,181094,659,182103,401,182882,363,184174,572,185860,532,188167,437,189321,582,191123,292,193630,330,195914,465,198134
Tower Hamlets,201090,5387,207031,2424,208651,3820,211154,3408,213382,4787,218400,7065,225251,6195,231893,4988,240495,4345,248520,5038,256012,5026,263003,7013,272890,8467,284015
Waltham Forest,222015,2839,223776,1698,224115,2285,225002,2177,226747,3182,230731,4159,235665,5023,242098,4060,248140,3727,254009,4290,259742,3273,262566,3706,265797,5075,268020
Wandsworth,271742,3251,274917,2152,276828,2453,278615,3504,283229,2868,287538,2481,291440,1077,294305,-338,299347,-1120,302620,708,307710,-1594,308312,102,310516,-241,312145
Westminster,203329,5385,208100,5548,211009,8961,214557,10638,223132,2866,222829,1793,220619,2279,218673,1042,216980,1595,217187,5734,219582,5599,223858,7546,226841,8886,233292
