name,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
City of London,"5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,200","4,600","4,700","4,700","5,500","5,700","5,900","5,800","5,900","5,700","5,400","6,700","6,800","6,900","6,600","6,500","6,400","6,200","6,100","5,900","5,400","5,200","5,300","5,400","5,500","5,600","5,700","5,700","6,600","7,000","7,400","7,300","7,100","7,100","7,100","7,300","7,600","7,400","7,500","7,300","7,400","7,600","7,600","8,100","8,760"
Barking and Dagenham,"176,000","176,000","174,000","173,000","170,000","168,000","167,000","165,000","163,000","161,000","161,500","160,800","160,500","159,600","158,800","157,400","155,900","153,800","152,600","152,400","151,600","160,800","159,500","158,800","157,900","157,300","156,800","156,600","156,400","156,500","155,500","156,200","156,200","156,800","157,400","157,300","158,300","161,000","162,400","163,900","165,700","166,400","166,200","165,600","166,300","167,200","169,000","172,500","177,600","182,800","187,000","190,600","194,400","198,300","201,979"
Barnet,"318,000","318,000","316,000","315,000","314,000","315,000","313,000","310,000","308,000","308,000","310,000","308,200","307,700","305,100","303,000","300,900","298,900","296,900","295,800","294,800","295,200","293,200","291,200","293,400","294,700","296,400","295,800","289,500","297,000","295,500","297,700","296,900","296,600","297,300","299,000","303,000","304,600","308,300","313,500","315,800","319,500","320,600","321,800","323,700","327,500","330,800","334,800","339,200","345,800","351,400","357,500","364,000","369,100","374,900","379,691"
Bexley,"210,000","211,000","212,000","214,000","215,000","215,000","215,000","215,000","216,000","216,000","219,700","219,500","219,600","219,200","218,600","218,100","217,100","216,500","216,200","216,600","217,100","217,600","217,400","217,500","217,300","218,400","218,300","217,700","216,900","216,800","218,100","218,100","218,300","218,600","218,500","217,700","215,700","216,300","217,500","218,700","218,800","219,100","220,000","220,900","222,400","223,300","224,600","226,700","228,100","230,700","232,800","234,300","236,700","239,900","242,142"
Brent,"295,000","294,000","294,000","292,000","291,000","290,000","289,000","285,000","282,000","281,000","282,800","281,000","278,100","273,500","268,100","263,300","260,600","259,900","256,900","255,000","254,200","247,300","246,700","246,900","246,300","246,400","246,600","246,400","243,300","243,900","240,800","240,300","241,700","245,700","248,400","252,000","255,300","259,900","260,300","264,900","269,600","269,900","268,300","268,300","270,900","276,500","283,300","290,900","298,100","304,800","312,200","314,700","317,300","320,800","324,012"
Bromley,"294,000","296,000","297,000","299,000","301,000","302,000","303,000","304,000","305,000","305,000","309,600","308,800","306,700","303,500","302,200","300,500","299,000","298,700","298,100","298,300","298,400","298,200","299,200","297,800","296,900","295,400","295,800","295,200","295,800","296,100","293,500","291,900","289,900","290,000","290,000","291,700","293,100","291,700","294,900","295,300","296,200","296,700","297,300","297,300","299,400","301,000","302,600","305,000","306,900","308,600","310,600","314,000","317,900","321,300","324,857"
Camden,"245,000","244,000","242,000","239,000","236,000","234,000","230,000","226,000","221,000","214,000","209,300","202,400","198,500","195,300","191,600","190,000","188,400","189,700","188,000","182,400","179,000","175,600","174,700","176,000","178,500","180,900","181,900","179,000","179,300","180,800","180,700","179,100","179,300","180,000","182,500","186,300","186,200","183,900","190,000","196,200","202,600","204,000","204,300","207,300","211,100","211,000","211,500","210,300","212,900","214,700","220,100","225,000","229,700","234,800","241,059"
Croydon,"325,000","326,000","326,000","326,000","326,000","326,000","327,000","329,000","331,000","333,000","338,400","337,000","335,200","332,800","330,400","327,800","325,900","324,800","324,000","322,200","321,100","321,100","319,500","317,400","317,200","317,000","316,300","313,900","313,700","315,700","315,900","317,200","319,200","322,800","326,800","329,400","330,900","333,000","332,100","334,200","335,100","335,400","335,900","337,100","339,100","340,400","344,000","349,300","352,800","358,000","364,800","368,900","372,800","376,000","379,031"
Ealing,"301,000","302,000","301,000","302,000","302,000","302,000","301,000","302,000","302,000","301,000","304,100","303,100","303,200","299,800","297,600","294,600","291,700","291,400","287,600","283,100","282,200","283,900","284,600","288,100","290,500","292,400","292,300","291,300","286,700","285,700","283,800","284,900","285,800","286,400","288,500","292,800","294,000","296,300","302,300","304,400","307,300","309,200","308,100","310,100","312,800","315,300","318,700","324,000","330,000","334,100","339,300","340,700","342,500","342,100","343,059"
Enfield,"272,000","272,000","272,000","272,000","272,000","271,000","271,000","270,000","269,000","267,000","269,500","268,400","267,800","266,000","264,600","263,100","261,400","260,400","259,500","260,500","261,100","261,200","261,700","261,400","262,600","262,400","257,700","256,500","257,100","258,900","260,100","260,600","260,800","260,000","262,800","265,000","268,400","268,900","272,700","275,100","277,300","280,700","281,800","282,200","284,800","287,400","291,500","297,400","302,000","307,600","313,900","317,300","320,500","324,600","328,433"
