cartodb_id,name,pct_net2002,pct_net2003,pct_net2004,pct_net2005,pct_net2006,pct_net2007,pct_net2008,pct_net2009,pct_net2010,pct_net2011,pct_net2012,pct_net2013,pct_net2014
1,Barking and Dagenham,0.016,0.016,0.019,0.017,0.019,0.017,0.023,0.033,0.041,0.025,0.023,0.018,0.024
2,Barnet,0.043,0.055,0.042,0.045,0.036,0.043,0.044,0.046,0.042,0.048,0.057,0.049,0.044
3,Bexley,0.006,0.007,0.006,0.005,0.006,0.005,0.007,0.010,0.014,0.009,0.007,0.006,0.007
4,Brent,0.030,0.021,0.027,0.042,0.070,0.083,0.076,0.073,0.070,0.056,0.042,0.051,0.063
5,Bromley,0.011,0.015,0.014,0.010,0.009,0.004,0.007,0.009,0.010,0.008,0.007,0.004,0.007
6,Camden,0.040,0.043,0.051,0.047,0.020,0.030,0.025,0.044,0.043,0.072,0.075,0.060,0.059
7,City of London,0.002,0.003,0.003,0.003,0.004,0.006,0.002,0.004,0.002,0.004,0.003,0.002,0.002
8,Croydon,0.018,0.022,0.026,0.026,0.014,0.022,0.027,0.020,0.025,0.019,0.021,0.014,0.020
9,Ealing,0.055,0.051,0.069,0.056,0.061,0.053,0.037,0.039,0.037,0.044,0.025,0.030,0.021
10,Enfield,0.040,0.033,0.020,0.026,0.018,0.028,0.036,0.040,0.048,0.026,0.027,0.024,0.028
11,Greenwich,0.015,0.017,0.019,0.015,0.020,0.015,0.024,0.025,0.035,0.027,0.037,0.023,0.026
12,Hackney,0.032,0.037,0.031,0.027,0.032,0.026,0.032,0.016,0.007,0.016,0.021,0.025,0.024
13,Hammersmith and Fulham,0.034,0.013,0.019,0.016,0.015,0.006,0.006,0.004,-0.015,0.001,-0.036,0.001,0.012
14,Haringey,0.062,0.054,0.046,0.044,0.055,0.051,0.068,0.057,0.037,0.033,0.058,0.061,0.052
15,Harrow,0.023,0.027,0.028,0.035,0.030,0.025,0.022,0.032,0.038,0.024,0.025,0.014,0.028
16,Havering,0.005,0.005,0.006,0.004,0.004,0.002,0.004,0.006,0.008,0.007,0.004,0.003,0.006
17,Hillingdon,0.018,0.027,0.026,0.026,0.028,0.026,0.026,0.027,0.030,0.043,0.051,0.036,0.037
18,Hounslow,0.033,0.037,0.053,0.050,0.055,0.048,0.045,0.047,0.047,0.034,0.041,0.038,0.034
19,Islington,0.020,0.025,0.020,0.026,0.031,0.031,0.028,0.031,0.034,0.051,0.063,0.048,0.043
20,Kensington and Chelsea,0.041,0.038,0.020,0.036,-0.023,-0.012,0.010,-0.005,-0.009,-0.007,-0.019,-0.002,0.010
21,Kingston upon Thames,0.021,0.021,0.022,0.019,0.016,0.012,0.018,0.024,0.028,0.027,0.031,0.023,0.020
22,Lambeth,0.034,0.035,0.047,0.048,0.050,0.056,0.035,0.027,0.016,0.028,0.039,0.041,0.025
23,Lewisham,0.026,0.029,0.030,0.034,0.037,0.031,0.034,0.024,0.020,0.026,0.038,0.030,0.030
24,Merton,0.020,0.019,0.024,0.028,0.037,0.034,0.029,0.027,0.015,0.016,0.001,0.002,0.005
25,Newham,0.077,0.063,0.035,0.031,0.084,0.106,0.106,0.132,0.182,0.118,0.099,0.090,0.089
26,Redbridge,0.032,0.031,0.020,0.018,0.026,0.028,0.027,0.021,0.022,0.034,0.034,0.026,0.032
27,Richmond upon Thames,0.023,0.027,0.021,0.012,0.002,-0.004,0.002,0.000,0.005,0.002,-0.003,0.002,0.004
28,Southwark,0.040,0.051,0.060,0.068,0.084,0.069,0.058,0.062,0.057,0.049,0.048,0.045,0.039
29,Sutton,0.007,0.010,0.008,0.006,0.005,0.004,0.005,0.006,0.005,0.006,0.004,0.004,0.004
30,Tower Hamlets,0.056,0.035,0.041,0.031,0.054,0.072,0.058,0.060,0.054,0.049,0.073,0.088,0.079
31,Waltham Forest,0.030,0.025,0.025,0.020,0.036,0.042,0.047,0.048,0.046,0.042,0.047,0.047,0.047
32,Wandsworth,0.034,0.031,0.027,0.032,0.033,0.025,0.010,-0.004,-0.014,0.007,-0.023,0.001,-0.002
33,Westminster,0.056,0.080,0.097,0.097,0.033,0.018,0.021,0.012,0.020,0.056,0.081,0.095,0.083
