name,% of resident population born abroad (2014),Largest migrant population by country of birth (2011),Second largest migrant population by country of birth (2011),Third largest migrant population by country of birth (2011),Largest migrant population arrived during 2014/15,Second largest migrant population arrived during 2014/15,Third largest migrant population arrived during 2014/15,Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10)
Barking and Dagenham,37.4,Nigeria,India,Pakistan,Romania,Bulgaria,Lithuania,7.14,7.6,7.05,3.05
Barnet,35.9,India,Poland,Iran,Romania,Poland,Italy,7.48,7.76,7.37,2.75
Bexley,16.1,Nigeria,India,Ireland,Romania,Nigeria,Poland,7.38,7.7,7.21,3.29
Brent,56.2,India,Poland,Ireland,Romania,Italy,Portugal,7.25,7.35,7.22,2.92
Bromley,17.2,India,Ireland,Nigeria,Romania,Italy,Poland,7.54,7.86,7.44,3.26
Camden,42.4,United States,Bangladesh,Ireland,Italy,France,Spain,7.14,7.38,7.11,3.61
City of London,.,United States,France,Australia,France,United States,India,6.59,7.08,5.99,5.57
Croydon,29.7,India,Jamaica,Ghana,Romania,Poland,Bulgaria,7.1,7.57,7.18,3.3
Ealing,45.5,India,Poland,Ireland,Poland,Romania,Italy,7.29,7.57,7.26,3.57
Enfield,32.8,Turkey,Cyprus (Not otherwise specified),Poland,Romania,Bulgaria,Poland,7.26,7.57,7.33,2.6
Greenwich,32.9,Nigeria,Nepal,India,Romania,Nigeria,Bulgaria,7.2,7.55,7.2,3.4
Hackney,38.9,Turkey,Nigeria,Jamaica,Italy,Spain,France,7.03,7.31,6.99,3.76
Hammersmith and Fulham,41.5,France,Ireland,Australia,Italy,Spain,France,7.41,7.53,7.16,3.09
Haringey,39.6,Poland,Turkey,Jamaica,Romania,Bulgaria,Italy,7.24,7.5,7.19,3.18
Harrow,50.7,India,Kenya,Sri Lanka,Romania,Poland,India,7.33,7.42,7.31,2.71
Havering,11.9,Ireland,India,Nigeria,Romania,Lithuania,Bulgaria,7.39,7.65,7.21,3.28
Hillingdon,33.1,India,Pakistan,Ireland,Romania,India,Poland,7.37,7.68,7.28,3.47
Hounslow,47.8,India,Poland,Pakistan,Romania,Poland,India,7.31,7.62,7.4,3.39
Islington,36.8,Ireland,Turkey,United States,Italy,France,Spain,7.17,7.42,7.06,3.7
Kensington and Chelsea,54.7,United States,France,Italy,Italy,France,Spain,7.61,7.8,7.56,3.1
Kingston upon Thames,29.2,Sri Lanka,India,Korea (South),Bulgaria,Poland,Romania,7.34,7.68,7.41,3.29
Lambeth,33.6,Jamaica,Portugal,Poland,Spain,Italy,Portugal,7.14,7.46,7.2,3.53
Lewisham,30.9,Jamaica,Nigeria,Poland,Romania,Italy,Spain,7.18,7.63,7.26,3.43
Merton,41.1,Poland,Sri Lanka,South Africa,Poland,Romania,Bulgaria,7.28,7.54,7.13,3.56
Newham,51.8,India,Bangladesh,Pakistan,Romania,Bulgaria,India,7.12,7.43,7.18,3.37
Redbridge,40.1,India,Pakistan,Sri Lanka,Romania,India,Italy,7.32,7.57,7.3,3.2
Richmond upon Thames,24.2,Ireland,South Africa,United States,Poland,Italy,Spain,7.54,7.75,7.33,3.2
Southwark,35.9,Nigeria,Jamaica,Ireland,Spain,Italy,Romania,7.47,7.67,7.31,3.42
Sutton,26.4,Sri Lanka,India,Ireland,Romania,Bulgaria,Poland,7.46,7.7,7.26,3.22
Tower Hamlets,37.8,Bangladesh,India,China,Italy,Spain,France,7.22,7.39,7.2,3.26
Waltham Forest,36.0,Pakistan,Poland,Romania,Romania,Bulgaria,Poland,7.19,7.5,7.12,3.14
Wandsworth,32.8,Poland,South Africa,Ireland,Italy,Spain,Poland,7.37,7.63,7.37,3.59
Westminster,51.3,United States,France,Iraq,Italy,France,Spain,7.25,7.45,7.13,3.43
