,cartodb_id,name,Remain,Leave,Choice,Remain_percentage,Leave_percentage,population_2001,international_net_2002,population_2002,international_net_2003,population_2003,international_net_2004,population_2004,international_net_2005,population_2005,international_net_2006,population_2006,international_net_2007,population_2007,international_net_2008,population_2008,international_net_2009,population_2009,international_net_2010,population_2010,international_net_2011,population_2011,international_net_2012,population_2012,international_net_2013,population_2013,international_net_2014,population_2014,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,% of resident population born abroad (2014),Largest migrant population by country of birth (2011),Second largest migrant population by country of birth (2011),Third largest migrant population by country of birth (2011),Largest migrant population arrived during 2014/15,Second largest migrant population arrived during 2014/15,Third largest migrant population arrived during 2014/15,Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10)
0,1,Barking and Dagenham,27750,46130,Leave,0.38,0.62,165654,1485,166357,1078,166210,1774,165610,1871,166275,1668,167157,1694,169031,2468,172452,2731,177580,3304,182838,2574,187029,1571,190560,1403,194352,2543,198294,"176,000","176,000","174,000","173,000","170,000","168,000","167,000","165,000","163,000","161,000","161,500","160,800","160,500","159,600","158,800","157,400","155,900","153,800","152,600","152,400","151,600","160,800","159,500","158,800","157,900","157,300","156,800","156,600","156,400","156,500","155,500","156,200","156,200","156,800","157,400","157,300","158,300","161,000","162,400","163,900","165,700","166,400","166,200","165,600","166,300","167,200","169,000","172,500","177,600","182,800","187,000","190,600","194,400","198,300","201,979",37.4,Nigeria,India,Pakistan,Romania,Bulgaria,Lithuania,7.14,7.6,7.05,3.05
1,2,Barnet,60823,39387,Remain,0.61,0.39,319481,4151,320552,3822,321802,3917,323723,4945,327541,3183,330801,4274,334837,4730,339212,3886,345829,3392,351438,4982,357538,3905,363956,3912,369088,4770,374915,"318,000","318,000","316,000","315,000","314,000","315,000","313,000","310,000","308,000","308,000","310,000","308,200","307,700","305,100","303,000","300,900","298,900","296,900","295,800","294,800","295,200","293,200","291,200","293,400","294,700","296,400","295,800","289,500","297,000","295,500","297,700","296,900","296,600","297,300","299,000","303,000","304,600","308,300","313,500","315,800","319,500","320,600","321,800","323,700","327,500","330,800","334,800","339,200","345,800","351,400","357,500","364,000","369,100","374,900","379,691",35.9,India,Poland,Iran,Romania,Poland,Italy,7.48,7.76,7.37,2.75
2,3,Bexley,47603,80886,Leave,0.37,0.63,218757,598,219123,476,220016,579,220917,509,222391,564,223280,521,224625,775,226652,869,228146,1168,230711,934,232774,499,234271,516,236687,699,239865,"210,000","211,000","212,000","214,000","215,000","215,000","215,000","215,000","216,000","216,000","219,700","219,500","219,600","219,200","218,600","218,100","217,100","216,500","216,200","216,600","217,100","217,600","217,400","217,500","217,300","218,400","218,300","217,700","216,900","216,800","218,100","218,100","218,300","218,600","218,500","217,700","215,700","216,300","217,500","218,700","218,800","219,100","220,000","220,900","222,400","223,300","224,600","226,700","228,100","230,700","232,800","234,300","236,700","239,900","242,142",16.1,Nigeria,India,Ireland,Romania,Nigeria,Poland,7.38,7.7,7.21,3.29
3,4,Brent,72523,48881,Remain,0.6,0.4,269620,2865,269871,1446,268323,2454,268335,4640,270939,6187,276504,8161,283273,8178,290901,6143,298118,5705,304785,5719,312245,2874,314660,4021,317264,6717,320762,"295,000","294,000","294,000","292,000","291,000","290,000","289,000","285,000","282,000","281,000","282,800","281,000","278,100","273,500","268,100","263,300","260,600","259,900","256,900","255,000","254,200","247,300","246,700","246,900","246,300","246,400","246,600","246,400","243,300","243,900","240,800","240,300","241,700","245,700","248,400","252,000","255,300","259,900","260,300","264,900","269,600","269,900","268,300","268,300","270,900","276,500","283,300","290,900","298,100","304,800","312,200","314,700","317,300","320,800","324,012",56.2,India,Poland,Ireland,Romania,Italy,Portugal,7.25,7.35,7.22,2.92
4,5,Bromley,92398,90034,Remain,0.51,0.49,296218,1030,296668,1034,297253,1331,297307,1117,299421,765,300963,408,302625,789,304968,740,306924,774,308560,867,310554,480,314036,348,317899,728,321278,"294,000","296,000","297,000","299,000","301,000","302,000","303,000","304,000","305,000","305,000","309,600","308,800","306,700","303,500","302,200","300,500","299,000","298,700","298,100","298,300","298,400","298,200","299,200","297,800","296,900","295,400","295,800","295,200","295,800","296,100","293,500","291,900","289,900","290,000","290,000","291,700","293,100","291,700","294,900","295,300","296,200","296,700","297,300","297,300","299,400","301,000","302,600","305,000","306,900","308,600","310,600","314,000","317,900","321,300","324,857",17.2,India,Ireland,Nigeria,Romania,Italy,Poland,7.54,7.86,7.44,3.26
5,6,Camden,71295,23838,Remain,0.75,0.25,202567,3851,203972,2988,204254,4721,207341,5141,211088,1775,211032,2959,211520,2720,210273,3694,212924,3495,214725,7442,220087,5185,224962,4744,229719,6288,234846,"245,000","244,000","242,000","239,000","236,000","234,000","230,000","226,000","221,000","214,000","209,300","202,400","198,500","195,300","191,600","190,000","188,400","189,700","188,000","182,400","179,000","175,600","174,700","176,000","178,500","180,900","181,900","179,000","179,300","180,800","180,700","179,100","179,300","180,000","182,500","186,300","186,200","183,900","190,000","196,200","202,600","204,000","204,300","207,300","211,100","211,000","211,500","210,300","212,900","214,700","220,100","225,000","229,700","234,800","241,059",42.4,United States,Bangladesh,Ireland,Italy,France,Spain,7.14,7.38,7.11,3.61
6,7,City of London,3312,1087,Remain,0.75,0.25,7359,236,7280,212,7115,257,7118,312,7131,384,7254,570,7607,245,7429,371,7472,128,7338,416,7412,210,7604,193,7648,252,8072,"5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,200","4,600","4,700","4,700","5,500","5,700","5,900","5,800","5,900","5,700","5,400","6,700","6,800","6,900","6,600","6,500","6,400","6,200","6,100","5,900","5,400","5,200","5,300","5,400","5,500","5,600","5,700","5,700","6,600","7,000","7,400","7,300","7,100","7,100","7,100","7,300","7,600","7,400","7,500","7,300","7,400","7,600","7,600","8,100","8,760",.,United States,France,Australia,France,United States,India,6.59,7.08,5.99,5.57
7,8,Croydon,92913,78221,Remain,0.54,0.46,335112,1687,335415,1543,335919,2415,337134,2843,339052,1253,340449,2145,344029,2875,349308,1672,352763,2002,357951,1993,364815,1479,368886,1141,372752,2189,376040,"325,000","326,000","326,000","326,000","326,000","326,000","327,000","329,000","331,000","333,000","338,400","337,000","335,200","332,800","330,400","327,800","325,900","324,800","324,000","322,200","321,100","321,100","319,500","317,400","317,200","317,000","316,300","313,900","313,700","315,700","315,900","317,200","319,200","322,800","326,800","329,400","330,900","333,000","332,100","334,200","335,100","335,400","335,900","337,100","339,100","340,400","344,000","349,300","352,800","358,000","364,800","368,900","372,800","376,000","379,031",29.7,India,Jamaica,Ghana,Romania,Poland,Bulgaria,7.1,7.57,7.18,3.3
8,9,Ealing,90024,59017,Remain,0.6,0.4,307276,5249,309242,3516,308108,6360,310073,6203,312774,5358,315329,5266,318671,4022,324022,3238,329966,3041,334073,4527,339314,1749,340671,2383,342494,2291,342118,"301,000","302,000","301,000","302,000","302,000","302,000","301,000","302,000","302,000","301,000","304,100","303,100","303,200","299,800","297,600","294,600","291,700","291,400","287,600","283,100","282,200","283,900","284,600","288,100","290,500","292,400","292,300","291,300","286,700","285,700","283,800","284,900","285,800","286,400","288,500","292,800","294,000","296,300","302,300","304,400","307,300","309,200","308,100","310,100","312,800","315,300","318,700","324,000","330,000","334,100","339,300","340,700","342,500","342,100","343,059",45.5,India,Poland,Ireland,Poland,Romania,Italy,7.29,7.57,7.26,3.57
9,10,Enfield,76425,60481,Remain,0.56,0.44,277266,3815,280745,2268,281835,1808,282217,2827,284779,1563,287429,2777,291534,3895,297443,3354,301971,3914,307648,2667,313935,1886,317287,1933,320524,2983,324574,"272,000","272,000","272,000","272,000","272,000","271,000","271,000","270,000","269,000","267,000","269,500","268,400","267,800","266,000","264,600","263,100","261,400","260,400","259,500","260,500","261,100","261,200","261,700","261,400","262,600","262,400","257,700","256,500","257,100","258,900","260,100","260,600","260,800","260,000","262,800","265,000","268,400","268,900","272,700","275,100","277,300","280,700","281,800","282,200","284,800","287,400","291,500","297,400","302,000","307,600","313,900","317,300","320,500","324,600","328,433",32.8,Turkey,Cyprus (Not otherwise specified),Poland,Romania,Bulgaria,Poland,7.26,7.57,7.33,2.6
10,11,Greenwich,65248,52117,Remain,0.56,0.44,217460,1448,221476,1178,224303,1782,227190,1643,230494,1794,233990,1500,236535,2622,239748,2111,243672,2880,249171,2782,255483,2567,260068,1818,264008,2793,268678,"231,000","232,000","231,000","231,000","231,000","230,000","230,000","229,000","225,000","222,000","220,100","219,300","218,100","216,700","215,800","214,800","214,200","213,400","214,200","216,100","215,600","214,300","213,800","213,300","213,200","214,400","212,600","210,100","208,700","211,000","210,900","211,900","211,300","210,200","209,300","209,800","211,200","212,300","212,200","214,400","217,500","221,500","224,300","227,200","230,500","234,000","236,500","239,700","243,700","249,200","255,500","260,100","264,000","268,700","274,803",32.9,Nigeria,Nepal,India,Romania,Nigeria,Bulgaria,7.2,7.55,7.2,3.4
11,12,Hackney,83398,22868,Remain,0.78,0.22,207246,3077,210961,2598,212405,2892,213581,2954,216512,2852,220193,2527,224480,3468,231041,1361,236622,585,241739,1671,247182,1420,252119,2021,257379,2592,263150,"257,000","256,000","253,000","252,000","251,000","248,000","244,000","239,000","232,000","226,000","223,200","219,700","215,000","210,000","202,700","198,100","192,400","188,800","186,800","186,000","185,100","183,000","185,500","186,100","185,200","184,100","183,800","184,600","187,000","187,000","185,000","186,800","188,200","190,300","192,900","193,100","191,400","194,700","199,100","203,400","207,200","211,000","212,400","213,600","216,500","220,200","224,500","231,000","236,600","241,700","247,200","252,100","257,400","263,200","269,009",38.9,Turkey,Nigeria,Jamaica,Italy,Spain,France,7.03,7.31,6.99,3.76
12,13,Hammersmith and Fulham,56188,24054,Remain,0.7,0.3,169374,3244,171989,868,171510,1722,172083,1740,173292,1322,174675,594,176472,608,177088,347,180116,-1227,180842,147,182445,-2505,179850,41,178685,1277,178365,"221,000","219,000","217,000","213,000","211,000","208,000","206,000","203,000","197,000","192,000","188,800","184,700","179,100","178,100","176,700","172,100","166,800","163,100","157,900","154,200","151,300","148,900","150,100","150,900","151,600","151,800","152,300","151,200","150,400","151,700","153,800","153,300","152,500","153,800","153,500","155,000","155,100","155,500","160,600","164,400","169,400","172,000","171,500","172,100","173,300","174,700","176,500","177,100","180,100","180,800","182,400","179,900","178,700","178,400","179,410",41.5,France,Ireland,Australia,Italy,Spain,France,7.41,7.53,7.16,3.09
13,14,Haringey,79991,25855,Remain,0.76,0.24,221251,5917,224474,3720,225027,4265,226472,4807,229271,4812,233174,5015,236793,7269,244459,4800,249805,3036,252742,3367,255540,3972,258912,4860,263386,5559,267541,"259,000","258,000","256,000","253,000","252,000","249,000","249,000","247,000","244,000","242,000","243,400","241,300","237,600","233,800","229,600","224,700","222,800","221,800","217,600","214,700","207,200","205,300","206,500","202,900","201,200","201,200","199,800","199,600","198,600","203,200","207,000","205,800","206,500","207,400","208,900","211,600","215,100","216,600","218,600","219,800","221,300","224,500","225,000","226,500","229,300","233,200","236,800","244,500","249,800","252,700","255,500","258,900","263,400","267,500","272,864",39.6,Poland,Turkey,Jamaica,Romania,Bulgaria,Italy,7.24,7.5,7.19,3.18
14,15,Harrow,64042,53183,Remain,0.55,0.45,210044,2176,212336,1878,213728,2614,216267,3861,221109,2613,223632,2496,226355,2399,229567,2689,233495,3088,237451,2471,240499,1694,242377,1153,243373,3030,246011,"211,000","210,000","209,000","209,000","208,000","207,000","207,000","206,000","206,000","206,000","207,000","205,600","205,100","203,500","203,000","202,400","201,100","199,600","199,100","199,400","199,000","200,400","201,800","204,600","205,600","206,600","205,500","203,300","200,900","200,700","203,000","203,700","206,300","207,400","207,000","207,200","206,900","206,700","207,900","209,100","210,000","212,300","213,700","216,300","221,100","223,600","226,400","229,600","233,500","237,500","240,500","242,400","243,400","246,000","247,130",50.7,India,Kenya,Sri Lanka,Romania,Poland,India,7.33,7.42,7.31,2.71
15,16,Havering,42201,96885,Leave,0.3,0.7,224717,468,225054,341,225248,537,225769,463,226990,333,228198,205,229789,452,231793,532,234127,661,236234,741,237927,266,239733,271,242080,673,245974,"245,000","245,000","246,000","246,000","246,000","246,000","246,000","246,000","246,000","246,000","249,300","249,100","248,000","245,600","244,000","243,300","243,200","243,300","243,300","243,500","242,200","242,000","240,200","239,700","238,500","238,300","237,600","236,000","233,100","232,500","230,900","229,100","229,400","228,700","227,600","227,100","226,000","223,600","225,700","225,100","224,700","225,100","225,200","225,800","227,000","228,200","229,800","231,800","234,100","236,200","237,900","239,700","242,100","246,000","249,085",11.9,Ireland,India,Nigeria,Romania,Lithuania,Bulgaria,7.39,7.65,7.21,3.28
16,17,Hillingdon,58040,74982,Leave,0.44,0.56,245616,1722,247063,1853,248054,2374,248691,2878,251430,2439,254387,2557,256981,2756,261051,2247,265665,2474,269465,4406,275499,3499,281756,2833,286808,3970,292690,"230,000","230,000","231,000","232,000","233,000","233,000","235,000","235,000","235,000","235,000","240,200","239,400","237,300","235,600","234,200","233,400","232,800","232,100","231,400","232,300","233,300","233,200","234,500","232,400","232,600","232,300","231,400","232,100","235,400","236,000","234,400","234,500","235,700","238,700","240,100","242,000","242,900","243,600","245,100","245,900","245,600","247,100","248,100","248,700","251,400","254,400","257,000","261,100","265,700","269,500","275,500","281,800","286,800","292,700","297,735",33.1,India,Pakistan,Ireland,Romania,India,Poland,7.37,7.68,7.28,3.47
17,18,Hounslow,58755,56321,Remain,0.51,0.49,215976,3139,216888,2575,216498,4890,219440,5487,223776,4814,228126,4708,233454,4819,237907,3979,243366,3827,249236,3473,254927,2831,259052,2994,262407,3607,265568,"208,000","209,000","208,000","207,000","207,000","207,000","206,000","206,000","207,000","207,000","209,100","209,200","207,700","205,700","203,700","202,100","202,500","202,900","203,000","204,100","203,900","202,200","199,400","197,100","195,600","195,600","195,400","192,900","198,900","201,500","203,900","202,000","202,000","201,800","203,700","206,000","210,100","212,400","214,300","214,700","216,000","216,900","216,500","219,400","223,800","228,100","233,500","237,900","243,400","249,200","254,900","259,100","262,400","265,600","268,770",47.8,India,Poland,Pakistan,Romania,Poland,India,7.31,7.62,7.4,3.39
18,19,Islington,76420,25180,Remain,0.75,0.25,179387,1890,180118,1739,180899,1851,180831,2902,183477,2684,185283,3044,188636,3055,192089,2600,196704,2741,200129,5210,206285,4337,211047,3848,215671,4620,221030,"260,000","258,000","253,000","248,000","243,000","238,000","236,000","230,000","221,000","210,000","205,800","197,800","190,100","183,200","178,400","173,400","168,100","165,200","165,300","166,800","166,100","161,800","161,200","163,200","165,600","165,100","165,300","165,300","165,100","168,900","171,800","172,700","172,900","173,400","173,000","174,700","175,700","177,900","175,700","177,900","179,400","180,100","180,900","180,800","183,500","185,300","188,600","192,100","196,700","200,100","206,300","211,000","215,700","221,000","227,692",36.8,Ireland,Turkey,United States,Italy,France,Spain,7.17,7.42,7.06,3.7
19,20,Kensington and Chelsea,37601,17138,Remain,0.69,0.31,162199,3937,163827,2639,165268,1806,165752,3971,168375,-2051,165245,-1182,162883,1034,162579,-454,161893,-731,160463,-720,158251,-1311,155930,-170,155594,1059,156190,"219,000","221,000","219,000","217,000","215,000","213,000","209,000","205,000","201,000","194,000","189,100","182,200","174,900","167,400","164,100","160,100","155,700","149,100","144,900","143,200","140,100","139,300","137,500","140,600","143,400","144,400","141,100","134,700","140,700","142,500","143,600","142,200","141,500","140,000","140,600","141,100","142,100","143,100","147,700","154,700","162,200","163,800","165,300","165,800","168,400","165,200","162,900","162,600","161,900","160,500","158,300","155,900","155,600","156,200","157,711",54.7,United States,France,Italy,Italy,France,Spain,7.61,7.8,7.56,3.1
20,21,Kingston upon Thames,52533,32737,Remain,0.62,0.38,149045,2015,149642,1452,149683,2016,151055,2119,152489,1399,153667,1179,154485,1943,156027,2046,157307,2305,158648,2761,160436,2138,163906,1827,166793,2136,169958,"146,000","146,000","145,000","145,000","145,000","144,000","143,000","142,000","141,000","141,000","142,300","141,300","140,000","138,600","138,000","137,900","136,600","136,200","135,700","135,400","134,300","133,300","133,100","133,200","132,500","132,100","130,100","132,000","133,100","135,700","136,100","136,100","136,100","136,400","137,800","139,200","141,300","143,800","146,000","147,300","149,000","149,600","149,700","151,100","152,500","153,700","154,500","156,000","157,300","158,600","160,400","163,900","166,800","170,000","173,525",29.2,Sri Lanka,India,Korea (South),Bulgaria,Poland,Romania,7.34,7.68,7.41,3.29
21,22,Lambeth,111584,30340,Remain,0.79,0.21,273372,3203,273041,2400,272195,4338,274262,5313,277620,4401,280524,5579,284964,3780,289126,2251,294050,1277,297650,2924,304481,2695,310200,3267,314242,2645,318216,"340,000","340,000","337,000","334,000","331,000","329,000","326,000","325,000","319,000","313,000","311,500","307,700","303,700","300,400","296,000","288,100","282,300","270,300","262,600","256,600","252,900","248,000","246,500","247,400","248,300","251,300","251,000","248,900","249,300","245,500","255,000","255,600","254,600","256,600","257,200","259,700","259,900","263,800","266,800","270,000","273,400","273,000","272,200","274,300","277,600","280,500","285,000","289,100","294,100","297,700","304,500","310,200","314,200","318,200","324,431",33.6,Jamaica,Portugal,Poland,Spain,Italy,Portugal,7.14,7.46,7.2,3.53
22,23,Lewisham,86995,37518,Remain,0.7,0.3,254336,2474,253662,1984,251936,2724,252455,3693,254930,3248,257976,3025,261188,3689,266508,2037,270418,1616,272525,2675,276938,2618,281556,2407,286180,3234,291933,"290,000","291,000","289,000","288,000","286,000","284,000","284,000","279,000","278,000","273,000","271,900","268,300","265,000","259,900","254,700","249,500","246,800","242,800","240,100","238,300","236,400","235,800","235,100","236,500","237,900","238,500","239,100","237,600","236,600","237,700","240,200","239,700","240,400","242,000","240,400","243,100","243,900","247,200","250,300","252,100","254,300","253,700","251,900","252,500","254,900","258,000","261,200","266,500","270,400","272,500","276,900","281,600","286,200","291,900","297,325",30.9,Jamaica,Nigeria,Poland,Romania,Italy,Spain,7.18,7.63,7.26,3.43
23,24,Merton,63003,37097,Remain,0.63,0.37,191106,1912,190561,1297,189298,2212,188908,3025,190583,3235,192520,3340,194260,3070,195859,2273,198136,1232,199136,1629,200543,50,202225,177,203223,540,203515,"188,000","188,000","187,000","185,000","185,000","184,000","183,000","181,000","180,000","179,000","179,300","179,700","179,500","178,100","176,800","175,200","171,400","169,000","168,200","167,400","167,600","167,200","166,400","165,700","166,700","167,600","167,200","167,800","168,300","169,900","170,900","171,700","173,700","175,800","177,700","180,600","181,700","182,400","185,100","188,200","191,100","190,600","189,300","188,900","190,600","192,500","194,300","195,900","198,100","199,100","200,500","202,200","203,200","203,500","204,565",41.1,Poland,Sri Lanka,South Africa,Poland,Romania,Bulgaria,7.28,7.54,7.13,3.56
24,25,Newham,55328,49371,Remain,0.53,0.47,249411,7316,255282,4391,256224,3211,254434,3446,253798,7398,257994,10437,266285,11374,276478,11082,286447,14757,299171,12201,310460,6829,314084,7151,318227,9518,324322,"264,000","262,000","260,000","257,000","254,000","252,000","250,000","248,000","244,000","240,000","238,900","235,300","234,300","233,200","230,700","227,500","225,600","222,400","218,900","216,500","212,900","211,500","209,800","209,200","208,900","206,000","207,700","208,700","209,500","212,300","216,300","219,200","222,300","224,900","228,000","229,900","231,000","235,000","240,500","245,500","249,400","255,300","256,200","254,400","253,800","258,000","266,300","276,500","286,400","299,200","310,500","314,100","318,200","324,300","332,817",51.8,India,Bangladesh,Pakistan,Romania,Bulgaria,India,7.12,7.43,7.18,3.37
25,26,Redbridge,69213,59020,Remain,0.54,0.46,241893,3078,244273,2143,247412,1852,248774,1953,251560,2283,255590,2751,259965,2890,265452,1776,270435,1754,275088,3520,281395,2377,284617,2049,288272,3403,293055,"249,000","249,000","248,000","247,000","248,000","247,000","245,000","243,000","242,000","241,000","242,700","241,200","240,400","237,700","236,400","235,200","234,300","232,700","231,200","231,000","229,300","219,600","218,100","217,000","217,900","217,100","218,500","218,600","219,400","221,700","222,000","223,500","224,700","226,700","228,700","232,800","235,000","236,000","238,100","239,900","241,900","244,300","247,400","248,800","251,600","255,600","260,000","265,500","270,400","275,100","281,400","284,600","288,300","293,100","296,793",40.1,India,Pakistan,Sri Lanka,Romania,India,Italy,7.32,7.57,7.3,3.2
26,27,Richmond upon Thames,75396,33410,Remain,0.69,0.31,174311,2186,175441,1838,177182,1896,179312,1355,181508,141,182520,-410,182421,171,182927,-21,184394,387,186304,223,187527,-226,189145,139,191365,426,193585,"182,000","182,000","180,000","180,000","180,000","179,000","177,000","177,000","177,000","176,000","177,000","174,400","173,200","171,100","169,900","168,300","167,200","165,700","163,600","161,700","161,800","162,800","162,900","162,000","162,400","162,300","162,700","159,900","162,200","165,200","166,600","165,100","164,600","165,000","166,600","168,700","170,000","169,900","172,800","172,900","174,300","175,400","177,200","179,300","181,500","182,500","182,400","182,900","184,400","186,300","187,500","189,100","191,400","193,600","194,730",24.2,Ireland,South Africa,United States,Poland,Italy,Spain,7.54,7.75,7.33,3.2
